Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2019-09-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Month, 2019-09-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Month, 2019-09-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2019-09-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2019-10-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Month, 2019-10-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Month, 2019-10-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2019-10-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2019-11-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Month, 2019-11-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Month, 2019-11-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2019-11-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2019-12-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Month, 2019-12-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Month, 2019-12-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2019-12-01 00:00:00,"	0.00","	kWh"
