Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-11 00:00:00,"	3584.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-11 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-11 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-11 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-11 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-11 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-11 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-12 00:00:00,"	3571.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-12 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-12 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-12 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-12 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-12 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-12 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-13 00:00:00,"	3576.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-13 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-13 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-13 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-13 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-13 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-13 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-14 00:00:00,"	3576.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-14 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-14 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-14 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-14 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-14 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-14 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-15 00:00:00,"	3572.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-15 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-15 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-15 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-15 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-15 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-15 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-16 00:00:00,"	3579.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-16 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-16 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-16 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-16 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-16 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-16 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-17 00:00:00,"	3643.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-17 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-17 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-17 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-17 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-17 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-17 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-18 00:00:00,"	3696.00","	kWh"
