No.,User Name,Time,Device Name,Card Number,Event Type,
1, 	, 2025-10-20 09:28:30, Access Actuator1_FM3	, , Door opened normally
2, 	, 2025-10-20 09:42:32, Access Actuator1_FM3	, , Door opened by button
3, 	, 2025-10-20 09:42:32, Access Actuator1_FM3	, , Door opened by button
4, 	, 2025-10-20 09:42:41, Access Actuator1_FM3	, , Door opened by button
5, 	, 2025-10-20 12:53:09, Access Actuator1_FM3	, , Door closed
6, test06	, 2025-10-21 09:17:51, Access Actuator1_FM3	, *****0419, Valid card swiping
7, 	, 2025-10-21 09:17:51, Access Actuator1_FM3	, , Door opened normally
8, 	, 2025-10-21 09:19:22, Access Actuator1_FM3	, , Door closed
9, test06	, 2025-10-21 10:00:05, Access Actuator1_FM3	, *****0419, Valid card swiping
10, 	, 2025-10-21 10:00:05, Access Actuator1_FM3	, , Door opened normally
11, 	, 2025-10-21 10:01:12, Access Actuator1_FM3	, , Door closed
12, samir	, 2025-10-21 14:35:39, Access Actuator1_FM3	, *****8634, Valid card swiping
13, 	, 2025-10-21 14:35:39, Access Actuator1_FM3	, , Door opened normally
14, 	, 2025-10-21 14:36:22, Access Actuator1_FM3	, , Door closed
15, samir	, 2025-10-21 14:37:44, Access Actuator1_FM3	, *****8634, Valid card swiping
16, 	, 2025-10-21 14:37:44, Access Actuator1_FM3	, , Door opened normally
17, 	, 2025-10-21 14:38:11, Access Actuator2_FM3	, , Door opened by button
18, 	, 2025-10-21 14:39:22, Access Actuator1_FM3	, , Door opened by button
19, 	, 2025-10-21 14:45:46, Access Actuator1_FM3	, , Door closed
20, Operateur_01	, 2025-10-21 15:25:08, Access Actuator1_FM3	, *****8627, Valid card swiping
21, 	, 2025-10-21 15:25:08, Access Actuator1_FM3	, , Door opened normally
22, 	, 2025-10-21 15:26:38, Access Actuator1_FM3	, , Door closed
23, test06	, 2025-10-22 08:59:51, Access Actuator1_FM3	, *****0419, Valid card swiping
24, 	, 2025-10-22 08:59:51, Access Actuator1_FM3	, , Door opened normally
25, 	, 2025-10-22 08:59:58, Access Actuator1_FM3	, , Door closed
26, test06	, 2025-10-22 09:26:24, Access Actuator1_FM3	, *****0419, Valid card swiping
27, 	, 2025-10-22 09:26:24, Access Actuator1_FM3	, , Door opened normally
28, 	, 2025-10-22 09:27:03, Access Actuator1_FM3	, , Door closed
29, Operateur_01	, 2025-10-22 10:13:57, Access Actuator1_FM3	, *****8627, Valid card swiping
30, 	, 2025-10-22 10:13:57, Access Actuator1_FM3	, , Door opened normally
31, 	, 2025-10-22 10:14:21, Access Actuator1_FM3	, , Door closed
32, Operateur_01	, 2025-10-22 13:12:13, Access Actuator1_FM3	, *****8627, Valid card swiping
33, 	, 2025-10-22 13:12:13, Access Actuator1_FM3	, , Door opened normally
34, 	, 2025-10-22 13:15:39, Access Actuator1_FM3	, , Door closed
35, Operateur_02	, 2025-10-22 15:01:15, Access Actuator1_FM3	, *****6629, Valid card swiping
36, 	, 2025-10-22 15:01:15, Access Actuator1_FM3	, , Door opened normally
37, 	, 2025-10-22 15:06:51, Access Actuator1_FM3	, , Door closed
38, Operateur_02	, 2025-10-22 15:34:17, Access Actuator1_FM3	, *****6629, Valid card swiping
39, 	, 2025-10-22 15:34:17, Access Actuator1_FM3	, , Door opened normally
40, 	, 2025-10-22 15:34:25, Access Actuator1_FM3	, , Door opened by button
41, Operateur_01	, 2025-10-22 19:16:53, Access Actuator1_FM3	, *****8627, Valid card swiping
42, 	, 2025-10-22 19:16:53, Access Actuator1_FM3	, , Door opened normally
43, 	, 2025-10-22 19:18:03, Access Actuator1_FM3	, , Door opened by button
44, samir	, 2025-10-23 09:13:54, Access Actuator1_FM3	, *****8634, Valid card swiping
45, 	, 2025-10-23 09:13:54, Access Actuator1_FM3	, , Door opened normally
46, samir	, 2025-10-23 09:14:42, Access Actuator1_FM3	, *****8634, Valid card swiping
47, 	, 2025-10-23 09:14:42, Access Actuator1_FM3	, , Door opened normally
48, 	, 2025-10-23 09:14:50, Access Actuator2_FM3	, , Door opened by button
49, 	, 2025-10-23 09:15:03, Access Actuator2_FM3	, , Door closed
50, 	, 2025-10-23 09:14:50, Access Actuator2_FM3	, , Door opened by button
51, 	, 2025-10-23 09:19:50, Access Actuator1_FM3	, , Door opened by button
52, samir	, 2025-10-23 09:24:00, Access Actuator1_FM3	, *****8634, Valid card swiping
53, 	, 2025-10-23 09:24:00, Access Actuator1_FM3	, , Door opened normally
54, 	, 2025-10-23 09:29:04, Access Actuator1_FM3	, , Door opened by button
55, samir	, 2025-10-23 09:29:31, Access Actuator1_FM3	, *****8634, Valid card swiping
56, 	, 2025-10-23 09:29:31, Access Actuator1_FM3	, , Door opened normally
57, 	, 2025-10-23 09:29:45, Access Actuator1_FM3	, , Door closed
58, samir	, 2025-10-23 09:29:55, Access Actuator1_FM3	, *****8634, Valid card swiping
59, 	, 2025-10-23 09:29:55, Access Actuator1_FM3	, , Door opened normally
60, 	, 2025-10-23 09:30:04, Access Actuator1_FM3	, , Door closed
61, samir	, 2025-10-23 09:37:04, Access Actuator1_FM3	, *****8634, Valid card swiping
62, 	, 2025-10-23 09:37:04, Access Actuator1_FM3	, , Door opened normally
63, 	, 2025-10-23 10:57:10, Access Actuator1_FM3	, , Door closed
64, Operateur_01	, 2025-10-23 16:05:19, Access Actuator1_FM3	, *****8627, Valid card swiping
65, 	, 2025-10-23 16:05:19, Access Actuator1_FM3	, , Door opened normally
66, 	, 2025-10-23 16:08:37, Access Actuator1_FM3	, , Door closed
67, Operateur_01	, 2025-10-25 16:59:46, Access Actuator1_FM3	, *****8627, Valid card swiping
68, 	, 2025-10-25 16:59:46, Access Actuator1_FM3	, , Door opened normally
69, 	, 2025-10-25 16:59:53, Access Actuator1_FM3	, , Door closed
70, 	, 2025-10-25 17:00:36, Access Actuator1_FM3	, , Door opened by button
71, 	, 2025-10-25 17:00:43, Access Actuator1_FM3	, , Door closed
72, test06	, 2025-10-26 09:14:15, Access Actuator1_FM3	, *****0419, Valid card swiping
73, 	, 2025-10-26 09:14:15, Access Actuator1_FM3	, , Door opened normally
74, 	, 2025-10-26 09:15:01, Access Actuator1_FM3	, , Door closed
75, samir	, 2025-10-26 09:17:23, Access Actuator1_FM3	, *****8634, Valid card swiping
76, 	, 2025-10-26 09:17:23, Access Actuator1_FM3	, , Door opened normally
77, 	, 2025-10-26 09:18:05, Access Actuator1_FM3	, , Door closed
78, samir	, 2025-10-26 09:34:50, Access Actuator1_FM3	, *****8634, Valid card swiping
79, 	, 2025-10-26 09:34:50, Access Actuator1_FM3	, , Door opened normally
80, 	, 2025-10-26 09:34:57, Access Actuator1_FM3	, , Door closed
81, Operateur_01	, 2025-10-26 09:43:48, Access Actuator1_FM3	, *****8627, Valid card swiping
82, 	, 2025-10-26 09:43:48, Access Actuator1_FM3	, , Door opened normally
83, 	, 2025-10-26 09:43:55, Access Actuator1_FM3	, , Door closed
84, Operateur_01	, 2025-10-27 09:49:27, Access Actuator1_FM3	, *****8627, Valid card swiping
85, 	, 2025-10-27 09:49:27, Access Actuator1_FM3	, , Door opened normally
86, 	, 2025-10-27 13:49:57, Access Actuator1_FM3	, , Door closed
87, Operateur_01	, 2025-10-27 17:22:33, Access Actuator1_FM3	, *****8627, Valid card swiping
88, 	, 2025-10-27 17:22:33, Access Actuator1_FM3	, , Door opened normally
89, 	, 2025-10-27 17:22:59, Access Actuator1_FM3	, , Door closed
90, Operateur_01	, 2025-10-27 17:23:17, Access Actuator1_FM3	, *****8627, Valid card swiping
91, 	, 2025-10-27 17:23:17, Access Actuator1_FM3	, , Door opened normally
92, 	, 2025-10-27 17:23:25, Access Actuator1_FM3	, , Door closed
93, Operateur_01	, 2025-10-28 08:50:47, Access Actuator1_FM3	, *****8627, Valid card swiping
94, 	, 2025-10-28 08:50:47, Access Actuator1_FM3	, , Door opened normally
95, 	, 2025-10-28 08:50:58, Access Actuator1_FM3	, , Door closed
96, Operateur_01	, 2025-10-28 08:51:14, Access Actuator1_FM3	, *****8627, Valid card swiping
97, 	, 2025-10-28 08:51:14, Access Actuator1_FM3	, , Door opened normally
98, 	, 2025-10-28 08:51:21, Access Actuator1_FM3	, , Door closed
99, samir	, 2025-10-28 15:00:27, Access Actuator1_FM3	, *****8634, Valid card swiping
100, 	, 2025-10-28 15:00:27, Access Actuator1_FM3	, , Door opened normally
101, 	, 2025-10-28 15:00:34, Access Actuator1_FM3	, , Door closed
102, 	, 2025-10-28 15:00:34, Access Actuator1_FM3	, , Door closed
103, Operateur_01	, 2025-10-28 15:24:40, Access Actuator1_FM3	, *****8627, Valid card swiping
104, 	, 2025-10-28 15:24:40, Access Actuator1_FM3	, , Door opened normally
105, 	, 2025-10-28 15:24:47, Access Actuator1_FM3	, , Door closed
106, Operateur_01	, 2025-10-28 15:25:16, Access Actuator1_FM3	, *****8627, Valid card swiping
107, 	, 2025-10-28 15:25:16, Access Actuator1_FM3	, , Door opened normally
108, 	, 2025-10-28 15:25:23, Access Actuator1_FM3	, , Door closed
109, Operateur_01	, 2025-10-29 08:36:36, Access Actuator1_FM3	, *****8627, Valid card swiping
110, 	, 2025-10-29 08:36:36, Access Actuator1_FM3	, , Door opened normally
111, 	, 2025-10-29 08:40:40, Access Actuator1_FM3	, , Door closed
112, 	, 2025-10-29 08:40:46, Access Actuator1_FM3	, , Door opened abnormally
113, 	, 2025-10-29 08:40:48, Access Actuator1_FM3	, , Door closed
114, 	, 2025-10-29 09:10:06, Access Actuator1_FM3	, , Door opened by button
115, 	, 2025-10-29 09:10:21, Access Actuator1_FM3	, , Door closed
116, Operateur_01	, 2025-10-29 17:15:05, Access Actuator1_FM3	, *****8627, Valid card swiping
117, 	, 2025-10-29 17:15:05, Access Actuator1_FM3	, , Door opened normally
118, 	, 2025-10-29 17:15:20, Access Actuator1_FM3	, , Door closed
119, Operateur_01	, 2025-10-30 08:20:30, Access Actuator1_FM3	, *****8627, Valid card swiping
120, 	, 2025-10-30 08:20:30, Access Actuator1_FM3	, , Door opened normally
121, 	, 2025-10-30 08:20:38, Access Actuator1_FM3	, , Door closed
122, Operateur_01	, 2025-10-30 08:20:54, Access Actuator1_FM3	, *****8627, Valid card swiping
123, 	, 2025-10-30 08:20:54, Access Actuator1_FM3	, , Door opened normally
124, 	, 2025-10-30 08:21:02, Access Actuator1_FM3	, , Door closed
125, Operateur_01	, 2025-10-30 14:01:07, Access Actuator1_FM3	, *****8627, Valid card swiping
126, 	, 2025-10-30 14:01:07, Access Actuator1_FM3	, , Door opened normally
127, 	, 2025-10-30 14:01:14, Access Actuator1_FM3	, , Door closed
128, test06	, 2025-11-02 09:27:20, Access Actuator1_FM3	, *****0419, Valid card swiping
129, 	, 2025-11-02 09:27:20, Access Actuator1_FM3	, , Door opened normally
130, 	, 2025-11-02 09:27:53, Access Actuator1_FM3	, , Door closed
131, 	, 2025-11-02 09:27:53, Access Actuator1_FM3	, , Door closed
132, 	, 2025-11-02 14:40:15, Access Actuator1_FM3	, , Door opened abnormally
133, 	, 2025-11-02 14:41:27, Access Actuator1_FM3	, , Door closed
134, Operateur_01	, 2025-11-02 15:19:25, Access Actuator1_FM3	, *****8627, Valid card swiping
135, 	, 2025-11-02 15:19:25, Access Actuator1_FM3	, , Door opened normally
136, 	, 2025-11-02 15:20:08, Access Actuator1_FM3	, , Door opened by button
137, 	, 2025-11-02 15:20:26, Access Actuator1_FM3	, , Door closed
138, Operateur_02	, 2025-11-03 12:33:32, Access Actuator1_FM3	, *****6629, Valid card swiping
139, 	, 2025-11-03 12:33:32, Access Actuator1_FM3	, , Door opened normally
140, 	, 2025-11-03 12:33:39, Access Actuator1_FM3	, , Door closed
141, test06	, 2025-11-04 08:44:12, Access Actuator1_FM3	, *****0419, Valid card swiping
142, 	, 2025-11-04 08:44:12, Access Actuator1_FM3	, , Door opened normally
143, 	, 2025-11-04 08:44:46, Access Actuator1_FM3	, , Door closed
144, Operateur_01	, 2025-11-04 09:36:46, Access Actuator1_FM3	, *****8627, Valid card swiping
145, 	, 2025-11-04 09:36:46, Access Actuator1_FM3	, , Door opened normally
146, 	, 2025-11-04 09:37:39, Access Actuator1_FM3	, , Door closed
147, Operateur_01	, 2025-11-04 09:43:01, Access Actuator1_FM3	, *****8627, Valid card swiping
148, 	, 2025-11-04 09:43:01, Access Actuator1_FM3	, , Door opened normally
149, 	, 2025-11-04 09:51:42, Access Actuator1_FM3	, , Door closed
150, 	, 2025-11-04 10:30:56, Access Actuator1_FM3	, , Door opened by button
151, 	, 2025-11-04 10:37:02, Access Actuator1_FM3	, , Door closed
152, samir	, 2025-11-04 12:11:35, Access Actuator1_FM3	, *****8634, Valid card swiping
153, 	, 2025-11-04 12:11:35, Access Actuator1_FM3	, , Door opened normally
154, 	, 2025-11-04 12:11:42, Access Actuator1_FM3	, , Door closed
155, Operateur_02	, 2025-11-04 17:47:19, Access Actuator1_FM3	, *****6629, Valid card swiping
156, 	, 2025-11-04 17:47:19, Access Actuator1_FM3	, , Door opened normally
157, 	, 2025-11-04 17:47:26, Access Actuator1_FM3	, , Door closed
158, 	, 2025-11-04 17:47:32, Access Actuator1_FM3	, , Door opened abnormally
159, 	, 2025-11-04 17:47:35, Access Actuator1_FM3	, , Door opened by button
160, 	, 2025-11-04 17:47:36, Access Actuator1_FM3	, , Door opened by button
161, 	, 2025-11-04 17:47:37, Access Actuator1_FM3	, , Door opened by button
162, 	, 2025-11-04 17:47:38, Access Actuator1_FM3	, , Door opened by button
163, 	, 2025-11-04 17:47:45, Access Actuator1_FM3	, , Door closed
164, Operateur_02	, 2025-11-04 21:42:12, Access Actuator1_FM3	, *****6629, Valid card swiping
165, 	, 2025-11-04 21:42:12, Access Actuator1_FM3	, , Door opened normally
166, 	, 2025-11-04 21:42:17, Access Actuator1_FM3	, , Door opened by button
167, 	, 2025-11-04 21:42:21, Access Actuator1_FM3	, , Door opened by button
168, 	, 2025-11-04 21:42:26, Access Actuator1_FM3	, , Door opened by button
169, 	, 2025-11-04 21:42:27, Access Actuator1_FM3	, , Door opened by button
170, samir	, 2025-11-05 12:46:59, Access Actuator1_FM3	, *****8634, Valid card swiping
171, 	, 2025-11-05 12:46:59, Access Actuator1_FM3	, , Door opened normally
172, samir	, 2025-11-06 08:31:11, Access Actuator1_FM3	, *****8634, Valid card swiping
173, 	, 2025-11-06 08:31:11, Access Actuator1_FM3	, , Door opened normally
174, test06	, 2025-11-06 08:58:10, Access Actuator1_FM3	, *****0419, Valid card swiping
175, 	, 2025-11-06 08:58:10, Access Actuator1_FM3	, , Door opened normally
176, test06	, 2025-11-06 10:41:55, Access Actuator1_FM3	, *****0419, Valid card swiping
177, 	, 2025-11-06 10:41:55, Access Actuator1_FM3	, , Door opened normally
178, 	, 2025-11-06 10:48:41, Access Actuator1_FM3	, , Door opened by button
179, 	, 2025-11-06 10:51:24, Access Actuator1_FM3	, , Door opened by button
180, test06	, 2025-11-06 10:53:15, Access Actuator1_FM3	, *****0419, Valid card swiping
181, 	, 2025-11-06 10:53:15, Access Actuator1_FM3	, , Door opened normally
182, samir	, 2025-11-06 15:11:01, Access Actuator1_FM3	, *****8634, Valid card swiping
183, 	, 2025-11-06 15:11:01, Access Actuator1_FM3	, , Door opened normally
184, Operateur_01	, 2025-11-06 16:22:41, Access Actuator1_FM3	, *****8627, Valid card swiping
185, 	, 2025-11-06 16:22:41, Access Actuator1_FM3	, , Door opened normally
186, 	, 2025-11-06 16:23:16, Access Actuator1_FM3	, , Door opened by button
187, Operateur_02	, 2025-11-07 10:07:39, Access Actuator1_FM3	, *****6629, Valid card swiping
188, 	, 2025-11-07 10:07:39, Access Actuator1_FM3	, , Door opened normally
189, 	, 2024-07-18 06:55:36, Access Actuator1_FM3	, , Door closed
190, test03	, 2024-07-19 19:46:06, Access Actuator1_FM3	, *****1326, Valid card swiping
191, 	, 2024-07-19 19:46:06, Access Actuator1_FM3	, , Door opened normally
192, 	, 2024-07-19 19:46:20, Access Actuator1_FM3	, , Door closed
193, test03	, 2024-07-22 06:52:03, Access Actuator1_FM3	, *****1326, Valid card swiping
194, 	, 2024-07-22 06:52:03, Access Actuator1_FM3	, , Door opened normally
195, 	, 2024-07-22 06:52:15, Access Actuator1_FM3	, , Door closed
196, samir	, 2024-07-23 10:04:24, Access Actuator1_FM3	, *****8634, Valid card swiping
197, 	, 2024-07-23 10:04:24, Access Actuator1_FM3	, , Door opened normally
198, 	, 2024-07-23 10:04:43, Access Actuator1_FM3	, , Door closed
199, test03	, 2024-07-23 13:00:19, Access Actuator1_FM3	, *****1326, Valid card swiping
200, 	, 2024-07-23 13:00:19, Access Actuator1_FM3	, , Door opened normally
201, 	, 2024-07-23 13:01:05, Access Actuator1_FM3	, , Door closed
202, test03	, 2024-07-23 20:06:16, Access Actuator1_FM3	, *****1326, Valid card swiping
203, 	, 2024-07-23 20:06:16, Access Actuator1_FM3	, , Door opened normally
204, 	, 2024-07-23 20:06:28, Access Actuator1_FM3	, , Door closed
205, test06	, 2024-07-25 08:54:01, Access Actuator1_FM3	, *****0419, Valid card swiping
206, 	, 2024-07-25 08:54:01, Access Actuator1_FM3	, , Door opened normally
207, 	, 2024-07-25 08:54:20, Access Actuator1_FM3	, , Door closed
208, 	, 2024-07-25 09:02:51, Access Actuator2_FM3	, , Door opened by button
209, 	, 2024-07-25 09:03:04, Access Actuator2_FM3	, , Door opened by button
210, 	, 2024-07-25 09:03:46, Access Actuator1_FM3	, , Door opened abnormally
211, 	, 2024-07-25 09:03:58, Access Actuator1_FM3	, , Door closed
212, test06	, 2024-07-25 09:04:28, Access Actuator1_FM3	, *****0419, Valid card swiping
213, 	, 2024-07-25 09:04:28, Access Actuator1_FM3	, , Door opened normally
214, 	, 2024-07-25 09:04:41, Access Actuator1_FM3	, , Door closed
215, 	, 2024-07-26 12:29:48, Access Actuator2_FM3	, , Door closed
216, test03	, 2024-07-27 19:51:17, Access Actuator1_FM3	, *****1326, Valid card swiping
217, 	, 2024-07-27 19:51:17, Access Actuator1_FM3	, , Door opened normally
218, 	, 2024-07-27 19:51:30, Access Actuator1_FM3	, , Door closed
219, test06	, 2024-07-28 09:06:34, Access Actuator1_FM3	, *****0419, Valid card swiping
220, 	, 2024-07-28 09:06:34, Access Actuator1_FM3	, , Door opened normally
221, 	, 2024-07-28 09:11:45, Access Actuator1_FM3	, , Door closed
222, 	, 2024-07-28 09:12:57, Access Actuator1_FM3	, , Door opened by button
223, 	, 2024-07-28 09:14:23, Access Actuator1_FM3	, , Door closed
224, samir	, 2024-07-29 10:54:29, Access Actuator1_FM3	, *****8634, Valid card swiping
225, 	, 2024-07-29 10:54:29, Access Actuator1_FM3	, , Door opened normally
226, 	, 2024-07-29 10:55:43, Access Actuator1_FM3	, , Door closed
227, test03	, 2024-07-30 06:40:10, Access Actuator1_FM3	, *****1326, Valid card swiping
228, 	, 2024-07-30 06:40:10, Access Actuator1_FM3	, , Door opened normally
229, 	, 2024-07-30 06:40:21, Access Actuator1_FM3	, , Door closed
230, test03	, 2024-08-01 00:13:44, Access Actuator1_FM3	, *****1326, Valid card swiping
231, 	, 2024-08-01 00:13:44, Access Actuator1_FM3	, , Door opened normally
232, 	, 2024-08-01 00:13:58, Access Actuator1_FM3	, , Door closed
233, test03	, 2024-08-03 17:24:05, Access Actuator1_FM3	, *****1326, Valid card swiping
