SN,Severity,Equipment,Equipment ID,Alarm Name,Generation Time,End Time,Fault Code,
1000,Critical,MultiFunctionalSensor_FM03_02,0x5302,Smoke alarm,2025-10-09 09:27:43,2025-10-09 09:27:48,0
998,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-09-22 12:26:49,2025-09-22 12:32:48,0
997,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-09-22 11:56:06,2025-09-22 12:01:31,0
979,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 13:58:59,2025-04-10 14:06:14,0
978,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 13:24:01,2025-04-10 13:28:30,0
977,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 13:11:00,2025-04-10 13:12:21,0
976,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 13:09:05,2025-04-10 13:10:21,0
975,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 13:01:16,2025-04-10 13:04:23,0
974,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 12:56:48,2025-04-10 12:58:49,0
973,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 12:54:30,2025-04-10 12:56:15,0
972,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 12:50:53,2025-04-10 12:54:02,0
971,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 10:42:31,2025-04-10 10:43:06,0
970,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 10:41:45,2025-04-10 10:41:52,0
969,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2025-04-10 10:29:42,2025-04-10 10:36:57,0
960,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 13:17:56,2024-09-02 13:22:46,0
959,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 13:13:35,2024-09-02 13:15:30,0
958,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 13:10:28,2024-09-02 13:11:48,0
957,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:35:52,2024-09-02 10:36:16,0
956,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:30:58,2024-09-02 10:31:05,0
955,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:30:17,2024-09-02 10:30:24,0
954,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:08:37,2024-09-02 10:08:44,0
953,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:05:41,2024-09-02 10:05:48,0
952,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:04:10,2024-09-02 10:04:17,0
951,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 10:01:35,2024-09-02 10:01:42,0
950,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:52:42,2024-09-02 09:52:49,0
949,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:49:58,2024-09-02 09:50:05,0
948,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:48:26,2024-09-02 09:48:33,0
947,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:28:39,2024-09-02 09:28:46,0
946,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:26:04,2024-09-02 09:26:11,0
945,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:19:27,2024-09-02 09:19:34,0
943,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:05:16,2024-09-02 09:05:23,0
942,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:03:22,2024-09-02 09:03:29,0
941,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:02:13,2024-09-02 09:02:20,0
940,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 09:00:36,2024-09-02 09:00:43,0
939,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:58:30,2024-09-02 08:58:37,0
938,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:57:21,2024-09-02 08:57:28,0
937,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:56:12,2024-09-02 08:56:31,0
936,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:55:20,2024-09-02 08:55:33,0
935,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:54:00,2024-09-02 08:54:19,0
934,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:52:06,2024-09-02 08:53:10,0
933,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:50:34,2024-09-02 08:50:58,0
